municipio,ano,mes,temp_media_mensal,temp_maxima_mensal,temp_minima_mensal,precipitacao_acumulada_mm,eto_acumulada_mm,vento_medio_mensal
Petrolina,2014,2,27.575,35.3,21.8,23.0,176.45,21.99285714285714
Petrolina,2014,3,27.748387096774195,35.8,21.0,40.5,186.21,20.725806451612904
Petrolina,2014,4,26.783333333333335,35.2,20.8,82.19999999999999,147.67,19.25
Petrolina,2014,5,25.596774193548388,33.0,19.2,3.3,148.36,22.396774193548385
Petrolina,2014,6,24.84333333333333,33.2,19.3,1.7,143.91,25.243333333333332
Petrolina,2014,7,23.958064516129035,31.4,18.8,24.599999999999998,143.67,25.80322580645161
Petrolina,2014,8,23.990322580645163,32.8,17.9,1.1,178.9,25.496774193548386
Petrolina,2014,9,26.413333333333334,37.2,18.2,1.2000000000000002,212.67000000000002,25.146666666666665
Petrolina,2014,10,27.10967741935484,35.8,19.0,0.5,224.07,26.183870967741935
Petrolina,2014,11,27.466666666666665,36.3,21.0,57.7,183.51,20.959999999999997
Petrolina,2014,12,26.951612903225808,34.6,20.8,53.0,186.29,20.56451612903226
Petrolina,2015,1,28.70967741935484,35.9,22.2,5.0,234.37,21.774193548387096
Petrolina,2015,2,27.775000000000002,36.2,21.8,60.9,174.25,21.042857142857144
Petrolina,2015,3,27.887096774193548,35.9,21.2,155.60000000000002,190.54,18.406451612903226
Petrolina,2015,4,27.56,35.1,21.8,21.2,165.01,18.933333333333334
Petrolina,2015,5,26.129032258064516,34.5,19.6,8.7,151.66,24.56451612903226
Petrolina,2015,6,24.709999999999997,32.5,20.1,3.9000000000000004,130.65,24.533333333333335
Petrolina,2015,7,24.458064516129035,32.1,18.4,1.2000000000000002,153.2,25.65806451612903
Petrolina,2015,8,24.651612903225807,33.6,17.3,1.1,190.24,25.370967741935484
Petrolina,2015,9,27.116666666666667,35.8,19.5,0.1,226.85,23.116666666666667
Petrolina,2015,10,28.270967741935483,37.5,20.3,0.6,242.67,23.76774193548387
Petrolina,2015,11,30.34333333333333,37.8,20.8,0.9,238.35,20.973333333333336
Petrolina,2015,12,29.75483870967742,37.6,22.8,11.1,246.67,21.838709677419356
Petrolina,2016,1,25.951612903225808,36.1,20.6,215.7,118.7,14.606451612903227
Petrolina,2016,2,27.658620689655173,36.0,20.7,9.4,194.01,20.46896551724138
Petrolina,2016,3,29.638709677419353,36.3,22.8,5.7,226.15,21.509677419354837
Petrolina,2016,4,28.743333333333332,35.9,21.3,1.5,206.67,22.676666666666666
Petrolina,2016,5,27.0,35.6,20.8,3.7,176.76,22.683870967741935
Petrolina,2016,6,25.496666666666666,35.1,19.0,1.5,155.32,23.59333333333333
Petrolina,2016,7,24.612903225806452,34.2,18.3,0.4,170.42,24.932258064516127
Petrolina,2016,8,25.190322580645162,34.9,17.9,1.7,192.2,23.996774193548386
Petrolina,2016,9,26.84,35.9,18.9,0.2,211.19,24.263333333333332
Petrolina,2016,10,28.364516129032257,37.0,21.0,8.5,238.78,24.35483870967742
Petrolina,2016,11,29.05666666666667,37.8,21.4,7.300000000000001,228.26,22.540000000000003
Petrolina,2016,12,29.383870967741935,36.9,22.0,9.799999999999999,225.39,21.700000000000003
Petrolina,2017,1,29.55806451612903,36.5,22.5,5.6,251.75,24.683870967741935
Petrolina,2017,2,28.75,35.5,22.1,36.4,191.47,22.442857142857143
Petrolina,2017,3,28.690322580645162,36.2,22.5,75.5,204.57,20.761290322580646
Petrolina,2017,4,27.59,35.0,21.0,46.7,175.06,22.803333333333335
Petrolina,2017,5,26.296774193548387,34.9,19.2,51.9,152.11,23.580645161290324
Petrolina,2017,6,24.3,31.8,19.0,11.5,125.27,25.956666666666667
Petrolina,2017,7,22.661290322580644,30.6,17.4,8.9,128.85,29.883870967741935
Petrolina,2017,8,24.63225806451613,32.9,18.0,2.2,176.9,26.019354838709678
Petrolina,2017,9,23.96333333333333,32.3,19.0,9.5,153.69,29.37
Petrolina,2017,10,26.993548387096773,35.3,20.1,2.8000000000000003,225.21,26.41290322580645
Petrolina,2017,11,28.426666666666666,36.3,21.0,22.1,202.86,22.92
Petrolina,2017,12,28.48709677419355,36.0,21.4,35.9,202.45,21.677419354838708
Petrolina,2018,1,27.97741935483871,35.2,21.8,49.6,199.06,21.47741935483871
Petrolina,2018,2,26.24285714285714,34.1,21.2,90.4,130.6,18.02857142857143
Petrolina,2018,3,26.90967741935484,34.0,20.6,91.9,152.6,17.34193548387097
Petrolina,2018,4,26.2,33.7,20.7,34.0,149.12,22.383333333333333
Petrolina,2018,5,25.509677419354837,34.3,20.1,4.2,146.14,24.806451612903224
Petrolina,2018,6,24.529999999999998,31.0,18.1,4.8999999999999995,140.01,25.35666666666667
Petrolina,2018,7,24.296774193548387,30.8,17.9,2.8,159.83,25.758064516129032
Petrolina,2018,8,25.541935483870965,33.6,18.0,1.8,193.34,24.299999999999997
Petrolina,2018,9,26.793333333333333,35.2,18.7,1.3,211.63,25.053333333333335
Petrolina,2018,10,28.316129032258065,36.5,20.2,23.4,214.26,22.73225806451613
Petrolina,2018,11,29.006666666666668,36.4,21.3,6.5,228.06,26.33
Petrolina,2018,12,26.425806451612903,34.7,20.0,118.39999999999999,163.91,18.845161290322583
Petrolina,2019,1,29.23548387096774,36.0,22.5,4.9,239.72,23.70967741935484
Petrolina,2019,2,27.810714285714287,36.0,21.6,125.7,158.29,16.55
Petrolina,2019,3,27.725806451612904,36.0,21.7,56.6,172.73,18.26774193548387
Petrolina,2019,4,27.5,34.5,21.5,69.8,158.01,18.176666666666666
Petrolina,2019,5,27.606451612903225,34.6,20.4,19.2,174.93,21.429032258064513
Petrolina,2019,6,25.146666666666665,32.9,19.3,10.0,144.96,27.029999999999998
Petrolina,2019,7,24.506451612903227,33.6,18.1,7.8,149.39,26.574193548387097
Petrolina,2019,8,24.74516129032258,32.8,16.8,4.4,177.49,27.36774193548387
Petrolina,2019,9,26.78666666666667,36.8,18.8,3.2,204.36,26.233333333333334
Petrolina,2019,10,27.883870967741935,35.9,20.2,79.3,222.36,25.061290322580643
Petrolina,2019,11,29.44333333333333,37.6,22.1,12.5,226.32999999999998,23.456666666666667
Petrolina,2019,12,29.858064516129033,37.6,22.6,66.3,241.08,24.683870967741935
Petrolina,2020,1,27.651612903225807,36.3,21.4,117.0,161.75,17.567741935483873
Petrolina,2020,2,27.186206896551724,35.0,21.1,211.7,136.97,17.844827586206897
Petrolina,2020,3,26.241935483870968,32.5,22.0,248.8,120.14,18.041935483870965
Petrolina,2020,4,26.063333333333333,34.5,20.6,111.1,120.01,19.44
Petrolina,2020,5,25.567741935483873,33.0,19.0,40.0,126.53,22.532258064516128
Petrolina,2020,6,23.983333333333334,31.1,18.5,20.4,111.08,25.373333333333335
Petrolina,2020,7,23.73548387096774,31.3,17.5,6.0,142.92,26.53548387096774
Petrolina,2020,8,24.335483870967742,33.0,17.6,4.3999999999999995,169.79,26.66774193548387
Petrolina,2020,9,26.19333333333333,35.9,18.3,1.7,204.82,25.603333333333335
Petrolina,2020,10,29.225806451612904,37.2,20.2,3.9,240.88,22.129032258064516
Petrolina,2020,11,26.626666666666665,34.8,19.6,64.8,165.27,20.986666666666668
Petrolina,2020,12,28.73548387096774,35.8,21.0,5.7,227.36,22.129032258064516
Petrolina,2021,1,28.561290322580643,36.1,21.7,10.0,210.51,21.496774193548386
Petrolina,2021,2,27.807142857142857,36.5,21.5,42.7,158.5,18.307142857142857
Petrolina,2021,3,28.57741935483871,35.5,21.4,19.5,203.31,20.848387096774193
Petrolina,2021,4,26.983333333333334,35.6,21.4,39.5,162.09,20.233333333333334
Petrolina,2021,5,25.58709677419355,33.0,19.2,4.2,158.9,23.20967741935484
Petrolina,2021,6,25.103333333333335,33.1,17.6,8.3,155.03,23.94333333333333
Petrolina,2021,7,24.309677419354838,33.5,18.9,7.3,149.83,25.932258064516127
Petrolina,2021,8,24.451612903225808,33.1,17.0,0.7000000000000001,187.29,27.47741935483871
Petrolina,2021,9,27.55,36.7,19.6,0.4,223.52,24.16
Petrolina,2021,10,28.641935483870967,37.3,20.2,31.7,230.5,22.4741935483871
Petrolina,2021,11,27.226666666666667,35.2,21.5,83.2,170.78,20.403333333333332
Petrolina,2021,12,26.270967741935483,33.7,21.0,157.7,145.66,18.483870967741936
Petrolina,2022,1,25.812903225806455,33.2,20.5,100.2,160.68,18.429032258064513
Petrolina,2022,2,27.00714285714286,34.2,21.2,81.4,162.16,17.285714285714285
Petrolina,2022,3,26.25483870967742,33.8,20.7,106.7,162.44,19.96451612903226
Petrolina,2022,4,26.686666666666667,35.4,20.0,42.7,162.23,21.016666666666666
Petrolina,2022,5,25.38064516129032,33.9,18.9,58.5,145.43,23.34193548387097
Petrolina,2022,6,23.92,31.5,17.0,16.700000000000003,135.8,24.206666666666667
Petrolina,2022,7,23.780645161290323,33.2,17.2,5.1,147.93,26.516129032258064
Petrolina,2022,8,24.177419354838708,33.8,17.4,5.7,174.03,26.774193548387096
Petrolina,2022,9,26.34,35.2,17.6,1.3,214.23,24.386666666666667
Petrolina,2022,10,28.283870967741933,37.5,20.0,9.399999999999999,242.96,25.306451612903224
Petrolina,2022,11,25.779999999999998,34.8,20.0,115.60000000000001,145.95,19.253333333333334
Petrolina,2022,12,25.583870967741937,32.1,20.7,93.1,154.34,17.700000000000003
Petrolina,2023,1,26.603225806451615,34.0,21.0,36.9,177.1,18.38064516129032
Petrolina,2023,2,28.13214285714286,35.2,21.3,40.1,184.85,21.417857142857144
Petrolina,2023,3,26.983870967741936,36.1,20.0,88.7,175.86,19.96451612903226
Petrolina,2023,4,26.759999999999998,34.3,20.5,42.0,158.28,18.65666666666667
Petrolina,2023,5,25.20967741935484,31.5,20.0,22.4,126.22,21.44516129032258
Petrolina,2023,6,24.366666666666667,31.1,19.0,9.6,130.95,25.596666666666668
Petrolina,2023,7,25.02258064516129,33.7,17.5,1.5,173.2,25.067741935483873
Petrolina,2023,8,26.229032258064517,36.0,17.8,3.1,187.09,22.538709677419355
Petrolina,2023,9,27.696666666666665,37.4,19.2,0.6000000000000001,222.04,25.240000000000002
Petrolina,2023,10,29.59032258064516,38.8,20.8,0.1,260.66,24.003225806451614
Petrolina,2023,11,29.923333333333336,37.8,22.0,24.3,226.74,21.05666666666667
Petrolina,2023,12,29.66774193548387,39.0,21.2,32.699999999999996,227.44,23.148387096774194
Petrolina,2024,1,27.9741935483871,36.5,22.2,136.0,163.59,15.570967741935485
Petrolina,2024,2,26.679310344827588,34.0,21.0,82.4,147.13,18.47241379310345
Petrolina,2024,3,27.858064516129033,35.3,21.5,49.9,171.75,17.703225806451613
Petrolina,2024,4,26.636666666666667,33.2,21.8,96.2,141.04,19.686666666666667
Petrolina,2024,5,26.190322580645162,34.7,20.0,19.0,151.34,23.648387096774194
Petrolina,2024,6,25.10666666666667,32.3,19.3,16.4,146.45,24.776666666666664
Petrolina,2024,7,24.52258064516129,32.0,16.9,10.9,168.07,25.787096774193547
Petrolina,2024,8,25.693548387096776,36.0,17.9,1.2,201.82,25.822580645161292
Petrolina,2024,9,27.063333333333333,35.7,17.8,0.6000000000000001,233.35999999999999,25.506666666666668
Petrolina,2024,10,28.92258064516129,38.2,19.6,26.8,236.36,21.822580645161292
Petrolina,2024,11,28.720000000000002,37.0,21.6,45.7,205.23,19.64
Petrolina,2024,12,29.809677419354838,37.2,22.6,3.1999999999999997,227.92000000000002,18.641935483870967
